name,Flavanoids
Sake,3.06
Sake,2.76
Sake,3.24
Sake,3.49
Sake,2.69
Sake,3.39
Sake,2.52
Sake,2.51
Sake,2.98
Sake,3.15
Sake,3.32
Sake,2.43
Sake,2.76
Sake,3.69
Sake,3.64
Sake,2.91
Sake,3.14
Sake,3.4
Sake,3.93
Sake,3.03
Sake,3.17
Sake,2.41
Sake,2.88
Sake,2.37
Sake,2.61
Sake,2.68
Sake,2.94
Sake,2.19
Sake,2.97
Sake,2.33
Sake,3.25
Sake,3.19
Sake,2.69
Sake,2.74
Sake,2.53
Sake,2.98
Sake,2.68
Sake,2.43
Sake,2.64
Sake,3.04
Sake,3.29
Sake,2.68
Sake,3.56
Sake,2.63
Sake,3.0
Sake,2.65
Sake,3.17
Sake,3.39
Sake,2.92
Sake,3.54
Sake,3.27
Sake,2.99
Sake,3.74
Sake,2.79
Sake,2.9
Sake,2.78
Sake,3.0
Sake,3.23
Sake,3.67
Whisky,0.57
Whisky,1.09
Whisky,1.41
Whisky,1.79
Whisky,3.1
Whisky,1.75
Whisky,2.65
Whisky,3.18
Whisky,2.0
Whisky,1.3
Whisky,1.28
Whisky,1.02
Whisky,2.86
Whisky,1.84
Whisky,2.89
Whisky,2.14
Whisky,1.57
Whisky,2.03
Whisky,1.32
Whisky,1.85
Whisky,2.55
Whisky,2.26
Whisky,2.53
Whisky,1.58
Whisky,1.59
Whisky,2.21
Whisky,1.94
Whisky,1.69
Whisky,1.61
Whisky,1.69
Whisky,1.59
Whisky,1.5
Whisky,1.25
Whisky,1.46
Whisky,2.25
Whisky,2.26
Whisky,2.27
Whisky,0.99
Whisky,2.5
Whisky,3.75
Whisky,2.99
Whisky,2.17
Whisky,1.36
Whisky,2.11
Whisky,1.64
Whisky,1.92
Whisky,1.84
Whisky,2.03
Whisky,1.76
Whisky,2.04
Whisky,2.92
Whisky,2.58
Whisky,2.27
Whisky,2.03
Whisky,2.01
Whisky,2.29
Whisky,2.17
Whisky,1.6
Whisky,2.09
Whisky,1.25
Whisky,1.64
Whisky,2.79
Whisky,5.08
Whisky,2.13
Whisky,2.65
Whisky,3.03
Whisky,2.65
Whisky,3.15
Whisky,2.24
Whisky,2.45
Whisky,1.75
champain,1.25
champain,1.22
champain,1.09
champain,1.2
champain,0.58
champain,0.66
champain,0.47
champain,0.6
champain,0.48
champain,0.6
champain,0.5
champain,0.5
champain,0.52
champain,0.8
champain,0.78
champain,0.55
champain,0.34
champain,0.65
champain,0.76
champain,1.39
champain,1.57
champain,1.36
champain,1.28
champain,0.83
champain,0.58
champain,0.63
champain,0.83
champain,0.58
champain,1.31
champain,1.1
champain,0.92
champain,0.56
champain,0.6
champain,0.7
champain,0.68
champain,0.47
champain,0.92
champain,0.66
champain,0.84
champain,0.96
champain,0.49
champain,0.51
champain,0.7
champain,0.61
champain,0.75
champain,0.69
champain,0.68
champain,0.76
