name,Malic acid
Sake,1.71
Sake,1.78
Sake,2.36
Sake,1.95
Sake,2.59
Sake,1.76
Sake,1.87
Sake,2.15
Sake,1.64
Sake,1.35
Sake,2.16
Sake,1.48
Sake,1.73
Sake,1.73
Sake,1.87
Sake,1.81
Sake,1.92
Sake,1.57
Sake,1.59
Sake,3.1
Sake,1.63
Sake,3.8
Sake,1.86
Sake,1.6
Sake,1.81
Sake,2.05
Sake,1.77
Sake,1.72
Sake,1.9
Sake,1.68
Sake,1.5
Sake,1.66
Sake,1.83
Sake,1.53
Sake,1.8
Sake,1.81
Sake,1.64
Sake,1.65
Sake,1.5
Sake,3.99
Sake,1.71
Sake,3.84
Sake,1.89
Sake,3.98
Sake,1.77
Sake,4.04
Sake,3.59
Sake,1.68
Sake,2.02
Sake,1.73
Sake,1.73
Sake,1.65
Sake,1.75
Sake,1.9
Sake,1.67
Sake,1.73
Sake,1.7
Sake,1.97
Sake,1.43
Whisky,0.94
Whisky,1.1
Whisky,1.36
Whisky,1.25
Whisky,1.13
Whisky,1.45
Whisky,1.21
Whisky,1.01
Whisky,1.17
Whisky,0.94
Whisky,1.19
Whisky,1.61
Whisky,1.51
Whisky,1.66
Whisky,1.67
Whisky,1.09
Whisky,1.88
Whisky,0.9
Whisky,2.89
Whisky,0.99
Whisky,3.87
Whisky,0.92
Whisky,1.81
Whisky,1.13
Whisky,3.86
Whisky,0.89
Whisky,0.98
Whisky,1.61
Whisky,1.67
Whisky,2.06
Whisky,1.33
Whisky,1.83
Whisky,1.51
Whisky,1.53
Whisky,2.83
Whisky,1.99
Whisky,1.52
Whisky,2.12
Whisky,1.41
Whisky,1.07
Whisky,3.17
Whisky,2.08
Whisky,1.34
Whisky,2.45
Whisky,1.72
Whisky,1.73
Whisky,2.55
Whisky,1.73
Whisky,1.75
Whisky,1.29
Whisky,1.35
Whisky,3.74
Whisky,2.43
Whisky,2.68
Whisky,0.74
Whisky,1.39
Whisky,1.51
Whisky,1.47
Whisky,1.61
Whisky,3.43
Whisky,3.43
Whisky,2.4
Whisky,2.05
Whisky,4.43
Whisky,5.8
Whisky,4.31
Whisky,2.16
Whisky,1.53
Whisky,2.13
Whisky,1.63
Whisky,4.3
champain,1.35
champain,2.99
champain,2.31
champain,3.55
champain,1.24
champain,2.46
champain,4.72
champain,5.51
champain,3.59
champain,2.96
champain,2.81
champain,2.56
champain,3.17
champain,4.95
champain,3.88
champain,3.57
champain,5.04
champain,4.61
champain,3.24
champain,3.9
champain,3.12
champain,2.67
champain,1.9
champain,3.3
champain,1.29
champain,5.19
champain,4.12
champain,3.03
champain,1.68
champain,1.67
champain,3.83
champain,3.26
champain,3.27
champain,3.45
champain,2.76
champain,4.36
champain,3.7
champain,3.37
champain,2.58
champain,4.6
champain,3.03
champain,2.39
champain,2.51
champain,5.65
champain,3.91
champain,4.28
champain,2.59
champain,4.1
