name,Proanthocyanins
Sake,2.29
Sake,1.28
Sake,2.81
Sake,2.18
Sake,1.82
Sake,1.97
Sake,1.98
Sake,1.25
Sake,1.98
Sake,1.85
Sake,2.38
Sake,1.57
Sake,1.81
Sake,2.81
Sake,2.96
Sake,1.46
Sake,1.97
Sake,1.72
Sake,1.86
Sake,1.66
Sake,2.1
Sake,1.98
Sake,1.69
Sake,1.46
Sake,1.66
Sake,1.92
Sake,1.45
Sake,1.35
Sake,1.76
Sake,1.98
Sake,2.38
Sake,1.95
Sake,1.97
Sake,1.35
Sake,1.54
Sake,1.86
Sake,1.36
Sake,1.44
Sake,1.37
Sake,2.08
Sake,2.34
Sake,1.48
Sake,1.7
Sake,1.66
Sake,2.03
Sake,1.25
Sake,2.19
Sake,2.14
Sake,2.38
Sake,2.08
Sake,2.91
Sake,2.29
Sake,1.87
Sake,1.68
Sake,1.62
Sake,2.45
Sake,2.03
Sake,1.66
Sake,2.04
Whisky,0.42
Whisky,0.41
Whisky,0.62
Whisky,0.73
Whisky,1.87
Whisky,1.03
Whisky,2.08
Whisky,2.28
Whisky,1.04
Whisky,0.42
Whisky,2.5
Whisky,1.46
Whisky,1.87
Whisky,1.03
Whisky,1.96
Whisky,1.65
Whisky,1.15
Whisky,1.46
Whisky,0.95
Whisky,2.76
Whisky,1.95
Whisky,1.43
Whisky,1.77
Whisky,1.4
Whisky,1.62
Whisky,2.35
Whisky,1.46
Whisky,1.56
Whisky,1.34
Whisky,1.35
Whisky,1.38
Whisky,1.64
Whisky,1.63
Whisky,1.62
Whisky,1.99
Whisky,1.35
Whisky,3.28
Whisky,1.56
Whisky,1.77
Whisky,1.95
Whisky,2.81
Whisky,1.4
Whisky,1.35
Whisky,1.31
Whisky,1.42
Whisky,1.48
Whisky,1.42
Whisky,1.63
Whisky,1.63
Whisky,2.08
Whisky,2.49
Whisky,3.58
Whisky,1.22
Whisky,1.05
Whisky,1.44
Whisky,1.04
Whisky,2.01
Whisky,1.53
Whisky,1.61
Whisky,0.83
Whisky,1.87
Whisky,1.83
Whisky,1.87
Whisky,1.71
Whisky,2.01
Whisky,2.91
Whisky,1.35
Whisky,1.77
Whisky,1.76
Whisky,1.9
Whisky,1.35
champain,0.94
champain,0.83
champain,0.83
champain,0.84
champain,1.25
champain,0.94
champain,0.8
champain,1.1
champain,0.88
champain,0.81
champain,0.75
champain,0.64
champain,0.55
champain,1.02
champain,1.14
champain,1.3
champain,0.68
champain,0.86
champain,1.25
champain,1.14
champain,1.25
champain,1.26
champain,1.56
champain,1.87
champain,1.4
champain,1.55
champain,1.56
champain,1.14
champain,2.7
champain,2.29
champain,1.04
champain,0.8
champain,0.96
champain,0.94
champain,1.03
champain,1.15
champain,1.46
champain,0.97
champain,1.54
champain,1.11
champain,0.73
champain,0.64
champain,1.24
champain,1.06
champain,1.41
champain,1.35
champain,1.46
champain,1.35
