name,Total phenols
Sake,2.8
Sake,2.65
Sake,2.8
Sake,3.85
Sake,2.8
Sake,3.27
Sake,2.5
Sake,2.6
Sake,2.8
Sake,2.98
Sake,2.95
Sake,2.2
Sake,2.6
Sake,3.1
Sake,3.3
Sake,2.85
Sake,2.8
Sake,2.95
Sake,3.3
Sake,2.7
Sake,3.0
Sake,2.41
Sake,2.61
Sake,2.48
Sake,2.53
Sake,2.63
Sake,2.85
Sake,2.4
Sake,2.95
Sake,2.65
Sake,3.0
Sake,2.86
Sake,2.42
Sake,2.95
Sake,2.35
Sake,2.7
Sake,2.6
Sake,2.45
Sake,2.4
Sake,3.0
Sake,3.15
Sake,2.45
Sake,3.25
Sake,2.64
Sake,3.0
Sake,2.85
Sake,3.25
Sake,3.1
Sake,2.75
Sake,2.88
Sake,2.72
Sake,2.45
Sake,3.88
Sake,3.0
Sake,2.6
Sake,2.96
Sake,3.2
Sake,3.0
Sake,3.4
Whisky,1.98
Whisky,2.05
Whisky,2.02
Whisky,2.1
Whisky,3.5
Whisky,1.89
Whisky,2.42
Whisky,2.98
Whisky,2.11
Whisky,2.53
Whisky,1.85
Whisky,1.1
Whisky,2.95
Whisky,1.88
Whisky,3.3
Whisky,3.38
Whisky,1.61
Whisky,1.95
Whisky,1.72
Whisky,1.9
Whisky,2.83
Whisky,2.42
Whisky,2.2
Whisky,2.0
Whisky,1.65
Whisky,2.2
Whisky,2.2
Whisky,1.78
Whisky,1.92
Whisky,1.95
Whisky,2.2
Whisky,1.6
Whisky,1.45
Whisky,1.38
Whisky,2.45
Whisky,3.02
Whisky,2.5
Whisky,1.6
Whisky,2.55
Whisky,3.52
Whisky,2.85
Whisky,2.23
Whisky,1.45
Whisky,2.56
Whisky,2.5
Whisky,2.2
Whisky,1.68
Whisky,1.65
Whisky,1.38
Whisky,2.36
Whisky,2.74
Whisky,3.18
Whisky,2.55
Whisky,1.75
Whisky,2.48
Whisky,2.56
Whisky,2.46
Whisky,1.98
Whisky,2.0
Whisky,1.63
Whisky,2.0
Whisky,2.9
Whisky,3.18
Whisky,2.2
Whisky,2.62
Whisky,2.86
Whisky,2.6
Whisky,2.74
Whisky,2.13
Whisky,2.22
Whisky,2.1
champain,1.51
champain,1.3
champain,1.15
champain,1.7
champain,2.0
champain,1.62
champain,1.38
champain,1.79
champain,1.62
champain,2.32
champain,1.54
champain,1.4
champain,1.55
champain,2.0
champain,1.38
champain,1.5
champain,0.98
champain,1.7
champain,1.93
champain,1.41
champain,1.4
champain,1.48
champain,2.2
champain,1.8
champain,1.48
champain,1.74
champain,1.8
champain,1.9
champain,2.8
champain,2.6
champain,2.3
champain,1.83
champain,1.65
champain,1.39
champain,1.35
champain,1.28
champain,1.7
champain,1.48
champain,1.55
champain,1.98
champain,1.25
champain,1.39
champain,1.68
champain,1.68
champain,1.8
champain,1.59
champain,1.65
champain,2.05
